ideaA,ideaB,aiRelatedness,aiGenerality,humanRelatedness,humanGenerality
foundationalism,belief,3,3,4,3
foundationalism,epistemological problems of perception,3,3,4,3
foundationalism,ontology,3,3,2,3
foundationalism,foundationalist theories of epistemic justification,3,2,4,1
foundationalism,explanation,3,3,1,3
foundationalism,skepticism,3,0,4,2
foundationalism,facts,3,3,3,3
computational complexity theory,computation,3,1,4,0
computational complexity theory,ontology,2,3,2,3
computational complexity theory,computability and complexity,3,2,4,2
computational complexity theory,logic,3,3,3,0
computational complexity theory,function and teleology,1,0,0,-1
computational complexity theory,literature,1,-1,0,-1
computational complexity theory,function,3,3,1,3
computational complexity theory,change,1,0,0,-1
computational complexity theory,Information,3,3,3,3
computational complexity theory,second-order and higher-order logic,3,0,2,3
computational complexity theory,situations,1,-1,0,-1
computational complexity theory,interpretation,1,0,0,-1
computational complexity theory,facts,1,-1,0,-1
computational complexity theory,semantics,1,3,0,-1
computational complexity theory,syntax,2,3,0,-1
computational complexity theory,respect,1,0,0,-1
computational complexity theory,intuition,1,-1,0,-1
computational complexity theory,formalism,3,3,2,3
computational complexity theory,inference,3,3,1,3
computational complexity theory,models and idealization,2,0,1,3
brains in a vat,reference,3,3,3,3
brains in a vat,Skepticism and Content Externalism,3,2,4,0
brains in a vat,ontology,3,3,2,3
brains in a vat,mental state,3,2,4,3
brains in a vat,sounds,1,0,0,-1
brains in a vat,semantics,2,0,4,3
brains in a vat,situations,3,3,1,3
brains in a vat,skepticism,3,3,3,3
brains in a vat,belief,3,2,4,3
brains in a vat,argument,3,3,1,3
church-turing thesis,turing machine,3,0,4,1
church-turing thesis,turing machine,3,1,4,1
church-turing thesis,function,3,3,2,3
Suffering,ontology,2,3,0,-1
Suffering,life,3,3,2,0
Suffering,pain,3,1,4,2
Suffering,person,3,1,2,3
Suffering,consequences,3,3,0,-1
Suffering,death,3,3,3,3
Suffering,purpose,2,3,1,3
Suffering,attention,2,3,1,3
Suffering,matter,1,0,0,-1
Suffering,respect,1,3,0,-1
Suffering,individuals,3,1,1,3
Suffering,situations,3,1,0,-1
Suffering,action,2,3,1,3
Suffering,virtues and vices,2,3,1,3
Suffering,abilities,1,3,0,-1
Suffering,desire,2,3,2,2
Suffering,desires,2,1,2,2
Suffering,value,2,3,3,3
Suffering,rights,2,3,2,3
Suffering,family,2,3,0,-1
panpsychism,consciousness,3,2,4,0
panpsychism,monism and pluralism,3,0,1,3
panpsychism,monism,3,2,3,3
panpsychism,physicalism,3,0,2,3
panpsychism,matter,3,3,2,3
panpsychism,mind,3,2,4,0
panpsychism,philosophy of mind,3,2,4,0
panpsychism,reduction and emergence,3,3,3,2
panpsychism,qualities,3,3,3,3
panpsychism,emergence,3,0,3,2
panpsychism,philosophy of physics,3,0,1,3
panpsychism,dualism,3,0,3,2
panpsychism,argument,1,-1,0,-1
panpsychism,neutral monism,2,0,3,2
panpsychism,materialism,3,0,3,2
panpsychism,mind-body problem,3,2,4,0
panpsychism,philosophy of psychology,3,2,2,3
Realism and Theory Change in Science,philosophy of science and the sciences,3,3,4,0
Realism and Theory Change in Science,philosophy of science,3,3,4,0
Realism and Theory Change in Science,history of science,3,3,4,0
Realism and Theory Change in Science,realism,3,0,4,0
Realism and Theory Change in Science,realism and anti-realism,3,2,4,2
Realism and Theory Change in Science,induction,3,3,3,3
Realism and Theory Change in Science,scientific theory,3,2,4,0
Realism and Theory Change in Science,pessimism,1,0,2,3
Realism and Theory Change in Science,confirmation and induction,3,3,4,2
Realism and Theory Change in Science,argument,2,0,2,3
ceteris paribus laws,philosophy of law,3,3,0,-1
ceteris paribus laws,philosophy of science,3,1,4,0
ceteris paribus laws,counterfactuals,3,2,2,3
ceteris paribus laws,philosophy of science and the sciences,3,3,4,0
ceteris paribus laws,philosophy of physics,3,3,3,0
ceteris paribus laws,supposition and copulation,0,-1,0,-1
ceteris paribus laws,philosophies of the particular sciences,3,3,4,0
ceteris paribus laws,philosophy of economics,3,3,4,3
ceteris paribus laws,inference,3,3,0,-1
natural law,philosophy of law,3,3,4,0
natural law,natural law theories,3,2,4,2
natural law,natural law tradition in ethics,3,2,4,1
natural law,rights,3,3,4,2
natural law,natural law tradition,3,3,4,1
natural law,matter,1,-1,0,-1
natural law,reference,1,0,0,-1
natural law,authority,3,3,2,3
natural law,ontology,3,3,3,3
continental philosophy,intersections between pragmatist and continental feminism,3,2,4,1
continental philosophy,history of philosophy,3,3,3,3
continental philosophy,approaches to feminist philosophy,3,2,3,3
continental philosophy,ontology,3,3,2,3
continental philosophy,reduction and emergence,3,3,0,-1
continental philosophy,knowledge and skepticism,3,3,3,3
continental philosophy,knowledge,3,3,3,3
continental philosophy,philosophy of history,2,0,2,3
continental philosophy,attention,2,,0,-1
continental philosophy,situations,2,3,0,-1
continental philosophy,phenomenology,3,1,4,1
continental philosophy,culture,3,3,2,3
continental philosophy,hermeneutics,3,3,4,1
continental philosophy,pragmatism,2,-1,2,2
continental philosophy,interpretation,3,3,2,3
continental philosophy,models and idealization,2,-1,0,-1
continental philosophy,pragmatics,2,-1,0,-1
continental philosophy,philosophy of science,2,3,1,3
continental philosophy,body,3,3,3,3
continental philosophy,purpose,2,-1,0,-1
philosophy of science,philosophy of science and the sciences,3,0,4,1
philosophy of science,philosophies of the particular sciences,3,3,4,2
philosophy of science,ontology,3,3,3,3
philosophy of science,philosophy of social science,3,2,4,1
philosophy of science,cognitive science,3,3,3,3
philosophy of science,explanation,3,3,4,1
history of philosophy,ontology,3,3,3,3
history of philosophy,philosophy of science,2,0,4,1
counterfactuals,causation,3,3,3,3
counterfactuals,counterfactual theories of causation,3,1,4,1
counterfactuals,counterfactual theories of causation,3,3,4,1
counterfactuals,truth,3,3,3,2
counterfactuals,possible worlds,3,2,4,2
other minds,mind,3,1,4,0
other minds,inference,2,3,3,3
other minds,mental state,3,3,4,2
other minds,knowledge and skepticism,3,3,3,3
other minds,knowledge,3,3,3,3
other minds,pain,1,0,3,3
other minds,perception,3,3,2,3
other minds,evidence,3,3,2,3
other minds,skepticism,3,3,3,0
aesthetics,aesthetics and philosophy of art,3,2,4,2
ethics,ontology,3,3,1,3
logic of conditionals,probability and statistics,3,3,4,3
logic of conditionals,models and idealization,2,0,4,3
philosophy of biology,mechanism,3,3,4,3
philosophy of biology,explanation,3,3,4,3
philosophy of biology,evolution,3,3,4,3
philosophy of biology,evolution,3,3,4,3
philosophy of biology,Philosophy of Systems and Synthetic Biology,3,3,4,3
philosophy of biology,Philosophy of Systems and Synthetic Biology,3,3,4,3
philosophy of biology,philosophy of science,3,3,4,3
philosophy of biology,molecular biology,2,3,4,3
philosophy of biology,molecular biology,3,3,4,3
philosophy of biology,molecular biology and genetics,3,1,4,3
philosophy of medicine,purpose,3,3,4,3
philosophy of medicine,life,3,3,4,3
philosophy of science and the sciences,probability and statistics,3,3,4,3
philosophy of science and the sciences,philosophy of biology,3,3,4,3
philosophy of science and the sciences,philosophy of psychology,3,3,4,3
philosophy of science and the sciences,philosophy of science,3,3,4,3
philosophy of mathematics,philosophy of science,3,0,4,3
philosophy of mathematics,Questions,3,3,4,3
philosophy of mathematics,consequences,2,3,4,3
philosophy of mathematics,analysis,3,3,4,3
philosophy of mathematics,platonism,3,1,4,3
philosophy of mathematics,set theory,3,3,4,3
artificial intelligence,logic,3,1,3,3
Formal Approaches to Social Procedures,common knowledge,1,,3,0
definition of art,aesthetic properties,3,1,3,2
definition of art,aesthetics and philosophy of art,3,2,4,0
definition of art,aesthetics,3,2,4,0
definition of art,definition,3,2,3,0
definition of art,philosophy of art,3,3,4,0
definition of art,concepts,3,3,1,3
animal consciousness,consciousness,3,1,4,0
animal consciousness,consciousness,3,1,4,0
animal consciousness,phenomenal consciousness,3,2,3,2
animal consciousness,animal behavior,3,0,3,3
animal consciousness,pain,3,0,3,2
animal consciousness,mental state,3,2,4,0
animal consciousness,great apes,3,3,3,3
animal consciousness,nonhuman animals,3,1,4,0
animal consciousness,Animal Mind,3,0,4,0
animal consciousness,mind,3,2,4,0
animal consciousness,philosophy of mind,3,3,3,0
animal consciousness,blindsight,3,2,2,3
animal consciousness,evidence,2,0,1,3
animal consciousness,function of consciousness,3,3,4,3
animal consciousness,emotion,3,2,3,3
animal consciousness,animal cognition,3,0,4,2
animal consciousness,animal cognition,3,2,4,2
animal consciousness,evolution of consciousness,3,3,4,2
animal consciousness,neural correlates,3,1,4,3
animal consciousness,species,3,1,2,3
animal consciousness,distribution,1,0,0,-1
animal consciousness,animal welfare,3,2,4,2
animal consciousness,consciousness and neuroscience,3,2,3,2
externalism about mental content,externalism,3,2,3,0
externalism about mental content,internalism and externalism,3,0,4,0
cognitive science,mind,3,3,4,0
Animal Mind,philosophy of mind,3,1,4,0
Animal Mind,mind,3,2,4,0
Animal Mind,animal cognition,3,0,4,2
Animal Mind,animal consciousness,3,0,4,1
Animal Mind,human cognition,3,3,3,2
Animal Mind,animal behavior,3,2,3,2
Animal Mind,modality,1,0,0,-1
Animal Mind,explanation,3,3,2,3
Animal Mind,nonhuman animals,3,1,4,0
Animal Mind,epistemology,2,1,3,3
chinese philosophy,Philosophy in Han Dynasty China,3,3,4,1
chinese philosophy,chinese and western,3,3,3,1
chinese philosophy,The Emotions in Early Chinese Philosophy,3,1,4,1
